issue_id,audit_title,issue_title,issue_description,severity,status,assigned_to,created_date
ISS-0186,Supplier Performance Evaluation Review,Poor Payroll Control Controls,Review procedures for compliance documentation lack management oversight,Low,Open,Auditor_6,2024-07-09
ISS-0187,Supplier Performance Evaluation Review,Unauthorized Risk Management Controls,Review procedures for financial statements lack management oversight,Low,Open,Auditor_8,2024-05-27
ISS-0188,Supplier Performance Evaluation Review,Insufficient Regulatory Procedures,Documentation for reconciliation procedures is incomplete or missing,Low,In Progress,Auditor_7,2024-02-15
ISS-0189,Supplier Performance Evaluation Review,Poor IT Security Procedures,Policies related to revenue recording lack proper implementation,High,Open,Auditor_6,2024-03-21
ISS-0190,Supplier Performance Evaluation Review,Poor Access Control Procedures,Policies related to revenue recording lack proper implementation,Medium,Open,Auditor_9,2024-12-17
ISS-0191,Project Management Controls Audit,Improper Risk Management Controls,Policies related to revenue recording lack proper implementation,Medium,In Progress,Auditor_2,2024-02-27
ISS-0192,Project Management Controls Audit,Weak Risk Management Controls,Review procedures for operational reports lack management oversight,Medium,Open,Auditor_5,2024-01-26
ISS-0193,Project Management Controls Audit,Insufficient Access Control Procedures,Documentation for risk assessments is incomplete or missing,Medium,Closed,Auditor_7,2024-08-08
ISS-0194,Project Management Controls Audit,Unauthorized Revenue Recognition Controls,Review procedures for financial statements lack management oversight,Low,In Progress,Auditor_7,2024-01-23
ISS-0195,Research Development Expenditure Review,Missing Compliance Procedures,Review procedures for financial statements lack management oversight,High,In Progress,Auditor_8,2024-09-21
ISS-0196,Research Development Expenditure Review,Incomplete Inventory Control Controls,Training programs for management personnel are outdated or insufficient,Low,Closed,Auditor_2,2024-11-05
ISS-0197,Research Development Expenditure Review,Incomplete Data Security Controls,Documentation for reconciliation procedures is incomplete or missing,Low,In Progress,Auditor_7,2024-03-16
ISS-0198,Research Development Expenditure Review,Lack of Payroll Control Procedures,Review procedures for operational reports lack management oversight,Low,Open,Auditor_6,2024-01-16
ISS-0199,Intellectual Property Management Assessment,Missing Regulatory Controls,Review procedures for operational reports lack management oversight,Medium,Open,Auditor_2,2024-10-01
ISS-0200,Intellectual Property Management Assessment,Missing Compliance Controls,Policies related to revenue recording lack proper implementation,Low,Open,Auditor_5,2024-09-27
ISS-0201,Intellectual Property Management Assessment,Incomplete Vendor Management Procedures,Monitoring activities for quality standards are not performed regularly,Medium,Open,Auditor_8,2024-05-12
ISS-0202,Intellectual Property Management Assessment,Insufficient IT Security Procedures,System configurations for data backup do not meet security requirements,High,Closed,Auditor_3,2024-04-27
ISS-0203,Corporate Governance Compliance Review,Inadequate Inventory Control Controls,Training programs for management personnel are outdated or insufficient,Low,Closed,Auditor_2,2024-03-25
ISS-0204,Corporate Governance Compliance Review,Unauthorized Quality Control Controls,Segregation of duties in payment processing is not properly maintained,High,Closed,Auditor_7,2024-08-05
ISS-0205,Corporate Governance Compliance Review,Poor Revenue Recognition Controls,Training programs for system users are outdated or insufficient,Low,In Progress,Auditor_8,2024-08-11
ISS-0206,Corporate Governance Compliance Review,Poor Access Control Procedures,Policies related to vendor selection lack proper implementation,Low,In Progress,Auditor_4,2024-07-27
ISS-0207,Executive Compensation Review Process,Improper Compliance Controls,Control mechanisms for data processing are not functioning as designed,High,Open,Auditor_8,2024-01-04
ISS-0208,Executive Compensation Review Process,Weak IT Security Controls,Policies related to vendor selection lack proper implementation,Low,In Progress,Auditor_5,2024-02-12
ISS-0209,Executive Compensation Review Process,Weak Access Control Controls,Policies related to revenue recording lack proper implementation,High,Open,Auditor_8,2024-02-05
ISS-0210,Executive Compensation Review Process,Poor Documentation Procedures,Documentation for approval processes is incomplete or missing,Medium,Open,Auditor_4,2024-07-03
ISS-0211,Board Meeting Documentation Audit,Insufficient Risk Management Controls,Control mechanisms for data processing are not functioning as designed,Low,Closed,Auditor_3,2024-08-12
ISS-0212,Board Meeting Documentation Audit,Missing Revenue Recognition Procedures,Policies related to revenue recording lack proper implementation,Low,Closed,Auditor_7,2024-06-14
ISS-0213,Board Meeting Documentation Audit,Incomplete Cash Management Controls,Training programs for system users are outdated or insufficient,Low,Open,Auditor_5,2024-04-17
ISS-0214,Shareholder Communications Review,Unauthorized Compliance Procedures,Policies related to inventory management lack proper implementation,Low,Open,Auditor_6,2024-06-05
ISS-0215,Shareholder Communications Review,Unauthorized Regulatory Procedures,Policies related to inventory management lack proper implementation,High,In Progress,Auditor_4,2024-01-02
ISS-0216,Shareholder Communications Review,Unauthorized Vendor Management Controls,Documentation for reconciliation procedures is incomplete or missing,Medium,Open,Auditor_5,2024-02-17
ISS-0217,Shareholder Communications Review,Missing Cash Management Controls,Training programs for system users are outdated or insufficient,Low,In Progress,Auditor_4,2024-01-08
ISS-0218,Compliance Training Program Assessment,Unauthorized Data Security Controls,Policies related to vendor selection lack proper implementation,High,Closed,Auditor_3,2024-12-01
ISS-0219,Compliance Training Program Assessment,Weak IT Security Procedures,Training programs for staff members are outdated or insufficient,Low,Open,Auditor_1,2024-06-26
ISS-0220,Compliance Training Program Assessment,Unauthorized Compliance Procedures,Segregation of duties in data entry is not properly maintained,High,In Progress,Auditor_10,2024-03-12
